Country/Region,location,continent,population_year,population
Guinea-Bissau,Guinea-Bissau,Africa,2022,2105580
Guyana,Guyana,South America,2022,808727
Haiti,Haiti,North America,2022,11585003
Honduras,Honduras,North America,2022,10432858
Hong Kong,Hong Kong,Asia,2022,7488863
Hungary,Hungary,Europe,2022,9967304
Iceland,Iceland,Europe,2022,372903
India,India,Asia,2022,1417173120
Indonesia,Indonesia,Asia,2022,275501344
International,International,,,
Iran,Iran,Asia,2022,88550568
Iraq,Iraq,Asia,2022,44496124
Ireland,Ireland,Europe,2022,5023108
Isle of Man,Isle of Man,Europe,2022,84534
Israel,Israel,Asia,2022,9449000
Italy,Italy,Europe,2022,59037472
Jamaica,Jamaica,North America,2022,2827382
Japan,Japan,Asia,2022,123951696
Jordan,Jordan,Asia,2022,11285875
Kazakhstan,Kazakhstan,Asia,2022,19397998
Kenya,Kenya,Africa,2022,54027484
Kiribati,Kiribati,Oceania,2022,131237
Kosovo,Kosovo,Europe,2021,1782115
Kuwait,Kuwait,Asia,2022,4268886
Kyrgyzstan,Kyrgyzstan,Asia,2022,6630621
Laos,Laos,Asia,2022,7529477
Latvia,Latvia,Europe,2022,1850654
Lebanon,Lebanon,Asia,2022,5489744
Lesotho,Lesotho,Africa,2022,2305826
Liberia,Liberia,Africa,2022,5302690
Libya,Libya,Africa,2022,6812344
Liechtenstein,Liechtenstein,Europe,2022,39355
Lithuania,Lithuania,Europe,2022,2750058
Luxembourg,Luxembourg,Europe,2022,647601
Macau,Macao,Asia,2022,695180
Madagascar,Madagascar,Africa,2022,29611718
Malawi,Malawi,Africa,2022,20405318
Malaysia,Malaysia,Asia,2022,33938216
Maldives,Maldives,Asia,2022,523798
Mali,Mali,Africa,2022,22593598
Malta,Malta,Europe,2022,533293
Marshall Islands,Marshall Islands,Oceania,2022,41593
Mauritania,Mauritania,Africa,2022,4736146
Mauritius,Mauritius,Africa,2022,1299478
Mexico,Mexico,North America,2022,127504120
Micronesia,Micronesia (country),Oceania,2022,114178
Moldova,Moldova,Europe,2022,3272993
Monaco,Monaco,Europe,2022,36491
Mongolia,Mongolia,Asia,2022,3398373
Montenegro,Montenegro,Europe,2022,627082
Montserrat,Montserrat,North America,2022,4413
Morocco,Morocco,Africa,2022,37457976
Mozambique,Mozambique,Africa,2022,32969520
Burma,Myanmar,Asia,2022,54179312
Namibia,Namibia,Africa,2022,2567024
Nauru,Nauru,Oceania,2022,12691
Nepal,Nepal,Asia,2022,30547586
Netherlands,Netherlands,Europe,2022,17564020
New Caledonia,New Caledonia,Oceania,2022,289959
New Zealand,New Zealand,Oceania,2022,5185289
Nicaragua,Nicaragua,North America,2022,6948395
Niger,Niger,Africa,2022,26207982
Nigeria,Nigeria,Africa,2022,218541216
"Korea, North",North Korea,Asia,2022,26069416
North Macedonia,North Macedonia,Europe,2022,2093606
Norway,Norway,Europe,2022,5434324
Oman,Oman,Asia,2022,4576300
Pakistan,Pakistan,Asia,2022,235824864
Palau,Palau,Oceania,2022,18084
West Bank and Gaza,Palestine,Asia,2022,5250076
Panama,Panama,North America,2022,4408582
Papua New Guinea,Papua New Guinea,Oceania,2022,10142625
Paraguay,Paraguay,South America,2022,6780745
Peru,Peru,South America,2022,34049588
Philippines,Philippines,Asia,2022,115559008
Poland,Poland,Europe,2022,39857144
Portugal,Portugal,Europe,2022,10270857
Qatar,Qatar,Asia,2022,2695131
Romania,Romania,Europe,2022,19659270
Russia,Russia,Europe,2022,144713312
Rwanda,Rwanda,Africa,2022,13776702
"Saint Helena, Ascension and Tristan da Cunha",Saint Helena,Africa,2022,5401
Saint Kitts and Nevis,Saint Kitts and Nevis,North America,2022,47681
Saint Lucia,Saint Lucia,North America,2022,179872
Saint Pierre and Miquelon,Saint Pierre and Miquelon,North America,2022,5885
Saint Vincent and the Grenadines,Saint Vincent and the Grenadines,North America,2022,103959
Samoa,Samoa,Oceania,2022,222390
San Marino,San Marino,Europe,2022,33690
Sao Tome and Principe,Sao Tome and Principe,Africa,2022,227393
Saudi Arabia,Saudi Arabia,Asia,2022,36408824
Senegal,Senegal,Africa,2022,17316452
Serbia,Serbia,Europe,2021,6871547
Seychelles,Seychelles,Africa,2022,107135
Sierra Leone,Sierra Leone,Africa,2022,8605723
Singapore,Singapore,Asia,2022,5637022
Slovakia,Slovakia,Europe,2022,5643455
Slovenia,Slovenia,Europe,2022,2119843
Solomon Islands,Solomon Islands,Oceania,2022,724272
Somalia,Somalia,Africa,2022,17597508
South Africa,South Africa,Africa,2022,59893884
"Korea, South",South Korea,Asia,2022,51815808
South Sudan,South Sudan,Africa,2022,10913172
Spain,Spain,Europe,2022,47558632
Sri Lanka,Sri Lanka,Asia,2022,21832150
Sudan,Sudan,Africa,2022,46874200
Suriname,Suriname,South America,2022,618046
Sweden,Sweden,Europe,2022,10549349
Switzerland,Switzerland,Europe,2022,8740471
Syria,Syria,Asia,2022,22125242
Taiwan*,Taiwan,Asia,2022,23893396
Tajikistan,Tajikistan,Asia,2022,9952789
Tanzania,Tanzania,Africa,2022,65497752
Thailand,Thailand,Asia,2022,71697024
Timor-Leste,Timor,Asia,2022,1341298
Togo,Togo,Africa,2022,8848700
Tonga,Tonga,Oceania,2022,106867
Trinidad and Tobago,Trinidad and Tobago,North America,2022,1531043
Tunisia,Tunisia,Africa,2022,12356116
Turkey,Turkey,Asia,2022,85341248
Turks and Caicos Islands,Turks and Caicos Islands,North America,2022,45726
Tuvalu,Tuvalu,Oceania,2022,11335
Uganda,Uganda,Africa,2022,47249588
Ukraine,Ukraine,Europe,2022,39701744
United Arab Emirates,United Arab Emirates,Asia,2022,9441138
United Kingdom,United Kingdom,Europe,2022,67508936
US,United States,North America,2022,338289856
Uruguay,Uruguay,South America,2022,3422796
Uzbekistan,Uzbekistan,Asia,2022,34627648
Vanuatu,Vanuatu,Oceania,2022,326744
Holy See,Vatican,Europe,2022,808
Venezuela,Venezuela,South America,2022,28301700
Vietnam,Vietnam,Asia,2022,98186856
Wallis and Futuna,Wallis and Futuna,Oceania,2022,11596
Yemen,Yemen,Asia,2022,33696612
Zambia,Zambia,Africa,2022,20017670
Zimbabwe,Zimbabwe,Africa,2022,16320539
